combo,combo_title,metric_family,metric,percentile,policy,policy_label,per_gpu_rate,mean,min,max,unit,window_low,window_high
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.75,2.4897792093817976,2.1957730895994856,2.78378532916411,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,2.0,2.5775965042950393,2.365010598450901,2.7901824101391774,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,0.75,0.27717254655125245,0.2664601187035442,0.2878849743989607,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.0,1.1365010690197912,0.9456502706775528,1.3273518673620297,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.25,1.5786787134657312,1.2765155909862371,1.8808418359452252,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.5,1.924250053823151,1.6494519198685884,2.1990481877777137,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,1.75,2.213280624344372,2.1945148062364543,2.232046442452289,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,phase,PhaseServe,2.0,2.196470000580666,2.1277254723074575,2.2652145288538743,s/token,0.75,2.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,1.0,32.48376797931269,28.43768939096481,36.52984656766057,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,1.25,35.93768556509167,31.94820596743375,39.92716516274959,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,1.5,38.079056930262595,34.18002950306982,41.97808435745537,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,1.75,40.103966808877885,36.449515517801046,43.75841809995472,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,2.0,41.64695967454463,38.2374620474875,45.05645730160177,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,2.25,43.04233763506636,39.72991789225489,46.35475737787783,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,2.5,44.06363338464871,40.72723922599107,47.40002754330635,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,2.75,44.9866561521776,41.76134864985943,48.211963654495776,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,fcfs,DistServe,3.0,45.654177197255194,42.48542472068221,48.822929673828185,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,phase,PhaseServe,1.0,11.847441814374179,9.595282199792564,14.099601428955792,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,phase,PhaseServe,1.25,15.73537315428257,13.054844861850142,18.415901446714997,s,1.0,3.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,ttft,ttft_s_median,p50,phase,PhaseServe,1.5,18.432610602583736,15.583718506619334,21.281502698548135,s,1.0,3.0
