combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,0.25,0.2081157910637557,0.028776639253324347,0.00020903348922724998,0.01153486967086785,0.00017237663269035,0.0809976458549499,3.3897308111190796,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,0.5,0.2060816629789769,0.08723433621839351,0.0012156367301940502,0.016887784004211398,0.00018715858459465002,0.07574415206909174,3.544866383075714,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,0.75,1.5856178082525727,0.7674637839262499,0.00170731544494625,5.44129478931427,0.4812198281288147,0.0760915279388427,3.5393678545951843,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,1.0,12.64364718971774,1.1621022399476564,0.0028709769248962003,10.046993792057037,0.610690176486969,0.089964747428894,3.5424168705940247,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,1.25,22.352746533509347,1.3104569956742655,0.46676969528198237,11.087488532066345,0.6870083212852478,0.1070708036422729,3.542377531528473,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,1.5,28.924985660798846,1.4599666890541374,2.725548207759857,11.24343204498291,0.6641713380813599,0.13314366340637207,3.5402936935424805,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,1.75,33.902542958036065,1.4543636953659105,4.942568361759186,11.578796148300171,0.6592283844947815,0.13346916437149045,3.538577437400818,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,2.0,37.47018913384527,1.454552650072227,6.568269789218903,11.606538712978363,0.7010190486907959,0.14288336038589478,3.5432124733924866,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,2.25,40.302121941652146,1.4644100487886083,7.910323619842529,11.706481099128723,0.6683898568153381,0.13633471727371216,3.54862517118454,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,2.5,42.59615874970332,1.4607268818810097,9.061668515205383,11.798967123031616,0.7111135125160217,0.1412898302078247,3.5505687594413757,,,,,
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,2.75,44.433751242700964,1.4595592204414927,10.049409329891205,11.880838453769684,0.7186400890350342,0.14627563953399655,3.5499613285064697,,,,,
