combo,combo_title,policy,policy_label,per_gpu_rate,slo_attainment_completed,goodput_req_s,throughput_completed_req_s,ttft_s_median,ttft_s_p90,ttft_s_p99,tpot_s_median,tpot_s_p90,tpot_s_p99
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,2.75,0.55078125,0.6339368591078993,1.142146672698357,5.287263190373778,42.55745602296665,46.2288709789142,0.09158953636379666,1.3637695091785678,5.154118617092733
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,3.0,0.515625,0.5948222337285416,1.1472892304182076,7.51199431810528,42.21078504445031,45.47859149661846,0.09260514982254285,1.324819526939581,5.78732139521
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,3.25,0.53515625,0.6145288517904955,1.1419126910723936,7.355159262660891,42.0330860607326,48.52009231630713,0.0947221106120603,1.238166122775374,6.4358220265141535
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,3.5,0.50390625,0.5771901713964547,1.1379654583289072,8.404504846315831,43.47631929479539,48.96864363315515,0.0901594947905088,1.3432608518380182,5.689205507430727
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,3.75,0.5,0.5727051818376003,1.1387417993644608,8.424332293216139,44.523844223842026,49.87047342670151,0.09010032450132416,1.32497489658523,5.1859992334949885
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,4.0,0.48828125,0.562841294668029,1.1463283260611783,9.216713140252978,44.47876862678677,53.20561797144824,0.09378337161294295,1.2449165562060296,5.610077742291737
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,4.25,0.47265625,0.5406765349710917,1.1431404187658294,9.80393277714029,49.80632443130016,55.01852808137424,0.0918165197849646,1.2792206353281976,6.506220630953105
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,4.5,0.48046875,0.5494579141120659,1.1371733829708086,9.238227877765894,49.33643146175891,55.9264435691107,0.09286996512478121,1.329107073374619,6.725065688634311
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,4.75,0.4375,0.5020903779819881,1.1476351496731156,10.658866129815578,48.719463584851475,54.09582650121301,0.09309883034915856,1.2471413263462154,6.656277115539666
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,5.0,0.43359375,0.4977664056007031,1.1472250636599077,10.97449080646038,49.21307510752231,55.06910230995156,0.09171315378406135,1.2855633316378965,6.709723965744507
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,DistServe,0.25,0.984375,0.4843190395299306,0.49200664333199295,0.07642692606896159,0.1933914681896567,0.25477586303837607,0.025490940508708503,0.0278326394181027,0.040877100030359395
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,DistServe,0.5,0.96484375,0.895919725015162,0.9287703360702297,0.0752088674344122,0.19191815210506313,0.2554197168163955,0.026821878409228,0.0322554190953572,0.2045022587888961
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,DistServe,0.75,0.734375,0.9591087589735383,1.3053948371897421,0.07549108285456894,0.2011019791476428,0.26877683367580185,0.034731152133688895,0.40839230597373966,1.6972259887103012
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,DistServe,1.0,0.4765625,0.6802055214472751,1.4264576469545855,0.1026775524951517,3.520976383704692,7.061200598515571,0.08838011274841155,1.244242678341371,5.2082980041671565
opt13b_sharegpt,OPT-13B + ShareGPT,fcfs,DistServe,1.25,0.26171875,0.37749834332957066,1.4388037068355972,1.5905740256421268,13.779723551589996,17.350763654774056,0.10781644816602005,1.5652709430150153,6.791252912217756
